"","treatment1","treatment2","forward_group","final_group","p_value"
"1","KIDINS220","STAT1","1/2/3/5/6/9/10/11/24/25/27/28/29/30/34","5/24/27",2.18334805383611e-09
"2","KIDINS220","IRAK1","2/3/6/10/11/24/25/27","2/3/6/10/11/24/25/27",7.34152682875608e-14
"3","KIDINS220","IRAK4","1/2/3/6/9/11/12/24/25/27","1/3/6/12",1.62237319256185e-07
"4","KIDINS220","MEF2C","2/3/4/5/6/7/9/10/11/24/25/26/27/34/36","2/3/4/5/6/7/9/10/24/25/26",1.49837659049774e-40
"5","KIDINS220","ADO","2/3/6/11/24","",0.340545793326643
"6","KIDINS220","MAPK1","2/3/4/5/6/7/9/10/11/24/25/28","2/3/4/5/6/7/10/11/24/25/28",4.41839923929412e-16
"7","KIDINS220","STAT2","2/3/4/6/9/10/11/24/25/27/28","2/3/6/24/25/28",2.13237975711637e-19
"8","STAT1","KIDINS220","26/31","26/31",3.2996085755893e-08
"9","STAT1","IRAK1","27/31","27/31",0.286584881730736
"10","STAT1","IRAK4","31","31",0.208519415819842
"11","STAT1","MEF2C","27/31","27/31",0.217922251066588
"12","STAT1","ADO","31","",0.0112676470928884
"13","STAT1","MAPK1","31","31",6.58646183778236e-06
"14","STAT1","STAT2","24/27/31","24/27/31",2.0630529302805e-14
"15","IRAK1","KIDINS220","1/2/4/5/6/7/8/10/28/31","1/2/4/5/6/7/10/28",1.17172770923481e-15
"16","IRAK1","STAT1","1/4/7/27","",0.00777838068088428
"17","IRAK1","IRAK4","1/5/7/8/30","1/5/7/8",7.67619131139756e-12
"18","IRAK1","MEF2C","1/4/5/6/7/8/11/25","1/4/5/6/7/8/11/25",9.42981106919194e-46
"19","IRAK1","ADO","1/2/4/5/7/8/11/24/25/30","",0.0624442520955122
"20","IRAK1","MAPK1","1/4/7","1/4/7",4.78505427652456e-15
"21","IRAK1","STAT2","1/4/5/6/8/25/31","1/4/6/8/25/31",5.5255610331898e-33
"22","IRAK4","KIDINS220","3/31","3/31",2.70735614570397e-09
"23","IRAK4","STAT1","","",0.5
"24","IRAK4","IRAK1","6/31","6/31",1.27076005142286e-15
"25","IRAK4","MEF2C","26/31","26/31",3.70021797797166e-09
"26","IRAK4","ADO","3/7/31","",0.0269393662184989
"27","IRAK4","MAPK1","6/7","6/7",2.20386828760302e-18
"28","IRAK4","STAT2","","",0.5
"29","MEF2C","KIDINS220","2/8/9/10","2/8/9/10",1.57802307456626e-08
"30","MEF2C","STAT1","2/4/6/8/9/10/26","2/4/6/8/26",6.4233662083953e-08
"31","MEF2C","IRAK1","1/2/3/4/6/7/8/9/10/12/25/26","1/6/7/25",3.00051382181115e-25
"32","MEF2C","IRAK4","1/2/3/4/7/8/9/10/24","1/2/3/4/7",0.00273428908725392
"33","MEF2C","ADO","2/3/4/6/8/9/10/24/25/26","",0.0200499928887671
"34","MEF2C","MAPK1","2/3/4/6/8/9/10/24","2/3/4/6/8/9/10/24",8.40569366552586e-29
"35","MEF2C","STAT2","2/3/4/8/9/10","2/3/4/9/10",0.00990748270796125
"36","ADO","KIDINS220","","",0.5
"37","ADO","STAT1","","",0.5
"38","ADO","IRAK1","","",0.5
"39","ADO","IRAK4","","",0.5
"40","ADO","MEF2C","","",0.5
"41","ADO","MAPK1","","",0.5
"42","ADO","STAT2","","",0.5
"43","MAPK1","KIDINS220","1/2/4/5/6/7/11/24/25/26/27/29","1/2/4/5/6/7/11/24/25/27/29",2.59880947971465e-08
"44","MAPK1","STAT1","1/2/4/7/11/24/25/26/27/28/29","24/25/26/27",0.138555813985253
"45","MAPK1","IRAK1","1/2/4/6/7/9/11/24/25/26/27/28/31","1/2/4/6/7/11/24/25/27/28/31",5.88510837592656e-11
"46","MAPK1","IRAK4","1/2/4/5/7/9/11/24/26/27/28/29","2/4/7/11/27/28",2.988006102336e-05
"47","MAPK1","MEF2C","1/2/3/5/6/7/9/11/24/26/27/28/30/31","1/2/3/5/6/7/9/11/24/26/27/28/30",1.7868797119034e-26
"48","MAPK1","ADO","1/2/5/7/11/24/26/27/28/30/31","27",0.224681877989661
"49","MAPK1","STAT2","1/2/4/7/11/24/27/28/29","1/2/4/24/27/28/29",0.0155250753406026
"50","STAT2","KIDINS220","31","31",0.00117732325882828
"51","STAT2","STAT1","31","31",1.03069589054744e-20
"52","STAT2","IRAK1","1/3/25/28/31","1/3/25/31",1.58495587052439e-08
"53","STAT2","IRAK4","31","31",0.0212467821273827
"54","STAT2","MEF2C","1/31","1/31",2.32681574815091e-19
"55","STAT2","ADO","31","",0.0970459073454573
"56","STAT2","MAPK1","31","31",4.12906269832929e-06
